iter	Passed	Remaining
0	1	1394
1	2	1014
2	2	926
3	3	885
4	4	830
5	4	798
6	5	768
7	6	753
8	6	731
9	7	719
10	7	707
11	8	696
12	9	689
13	9	681
14	10	674
15	10	667
16	11	660
17	11	652
18	12	653
19	13	649
20	13	646
21	14	643
22	15	639
23	15	634
24	16	633
25	16	633
26	17	631
27	18	629
28	18	626
29	19	623
30	19	622
31	20	621
32	21	620
33	21	619
34	22	617
35	23	616
36	23	613
37	24	611
38	24	609
39	25	608
40	25	605
41	26	603
42	27	601
43	27	599
44	28	599
45	28	599
46	29	597
47	30	599
48	30	598
49	31	598
50	32	596
51	32	595
52	33	593
53	33	594
54	34	592
55	35	591
56	35	590
57	36	589
58	36	588
59	37	586
60	37	584
61	38	582
62	39	581
63	39	580
64	40	579
65	40	577
66	41	577
67	42	576
68	42	575
69	43	574
70	43	574
71	44	576
72	45	575
73	45	574
74	46	574
75	47	573
76	47	572
77	48	571
78	48	570
79	49	569
80	50	568
81	50	566
82	50	562
83	51	562
84	52	561
85	52	559
86	53	558
87	53	558
88	54	558
89	55	557
90	55	556
91	56	555
92	56	554
93	57	554
94	58	553
95	58	553
96	59	552
97	59	551
98	60	550
99	61	550
100	61	549
101	62	548
102	62	546
103	63	544
104	63	542
105	64	540
106	64	538
107	64	536
108	65	534
109	65	532
110	66	530
111	66	528
112	67	527
113	67	525
114	68	523
115	68	521
116	68	519
117	69	518
118	69	517
119	70	516
120	70	515
121	71	513
122	71	513
123	72	512
124	73	511
125	73	509
126	73	507
127	74	506
128	74	504
129	75	504
130	75	503
131	76	501
132	76	500
133	77	498
134	77	497
135	78	496
136	78	494
137	79	493
138	79	492
139	79	490
140	80	489
141	80	486
142	81	486
143	81	484
144	81	483
145	82	482
146	83	481
147	83	480
148	83	479
149	84	478
150	84	477
151	85	475
152	86	476
153	86	477
154	87	477
155	88	477
156	88	476
157	89	475
158	89	474
159	90	473
160	90	471
161	90	469
162	91	468
163	91	467
164	92	466
165	92	465
166	93	464
167	93	463
168	94	462
169	94	461
170	94	460
171	95	459
172	95	458
173	96	456
174	96	455
175	97	454
176	97	453
177	97	452
178	98	451
179	98	450
180	99	449
181	99	449
182	100	449
183	101	449
184	101	448
185	102	448
186	102	447
187	103	447
188	104	446
189	104	446
190	105	446
191	105	445
192	106	444
193	106	444
194	107	443
195	108	443
196	108	442
197	109	441
198	109	440
199	109	439
200	110	438
201	110	437
202	111	436
203	111	435
204	112	435
205	112	433
206	113	433
207	113	432
208	114	432
209	115	434
210	116	434
211	116	433
212	117	433
213	117	432
214	118	432
215	119	432
216	119	431
217	120	431
218	120	430
219	121	429
220	121	428
221	122	427
222	122	426
223	122	425
224	123	424
225	123	423
226	124	423
227	124	422
228	125	421
229	125	420
230	125	419
231	126	418
232	126	417
233	127	416
234	127	416
235	128	416
236	129	415
237	129	415
238	130	415
239	131	417
240	132	417
241	133	416
242	133	416
243	134	415
244	134	414
245	134	413
246	135	412
247	135	411
248	136	411
249	136	410
250	137	409
251	137	408
252	138	407
253	138	406
254	139	406
255	139	405
256	140	405
257	140	404
258	141	403
259	141	403
260	142	403
261	143	403
262	143	402
263	144	402
264	144	401
265	145	400
266	145	399
267	146	398
268	146	398
269	146	397
270	147	396
271	147	395
272	148	394
273	148	393
274	149	392
275	149	392
276	149	391
277	150	390
278	150	389
279	151	388
280	151	388
281	152	387
282	152	386
283	153	386
284	153	385
285	154	384
286	154	383
287	154	383
288	155	382
289	156	382
290	156	382
291	157	381
292	157	381
293	158	380
294	159	380
295	159	379
296	159	378
297	160	377
298	160	377
299	161	376
300	161	375
301	162	374
302	162	374
303	163	373
304	163	372
305	163	371
306	164	371
307	165	370
308	165	370
309	166	370
310	166	369
311	167	368
312	167	368
313	168	367
314	168	366
315	169	366
316	170	366
317	170	366
318	171	365
319	171	364
320	172	363
321	172	363
322	172	362
323	173	361
324	173	361
325	174	360
326	174	360
327	175	359
328	175	358
329	176	358
330	176	357
331	177	356
332	177	356
333	178	355
334	178	354
335	179	354
336	179	353
337	180	352
338	180	352
339	181	351
340	181	350
341	181	350
